day,request_types,total_requests,avg_requests,min,max
2023-09-01,RTIS,76803133,148843.28100775194,1,31746278
2023-09-02,RTIS,70650085,138258.48336594913,1,29335088
2023-09-03,RTIS,72669508,141380.36575875487,1,30449780
2023-09-04,RTIS,79147767,152794.91698841698,1,32612902
2023-09-05,RTIS,81173748,156706.07722007722,1,32565858
2023-09-06,RTIS,82906177,151013.07285974498,1,33564050
2023-09-07,RTIS,81579455,117380.5107913669,1,33744392
2023-09-08,RTIS,78864109,111232.87588152327,1,32348031
2023-09-09,RTIS,70862828,101377.43633762519,1,28861322
2023-09-10,RTIS,75048259,107211.79857142858,1,30541045
2023-09-11,RTIS,84606367,120521.89031339031,1,34299350
2023-09-12,RTIS,85627901,122325.57285714286,1,34775402
2023-09-13,RTIS,83402586,117303.21518987342,1,34134878
2023-09-14,RTIS,80421676,114235.33522727272,1,32768988
2023-09-15,RTIS,76362885,103753.91983695653,1,31189291
2023-09-16,RTIS,68596484,94485.51515151515,1,27819775
2023-09-17,RTIS,71464558,98030.94375857338,1,28984591
2023-09-18,RTIS,82266917,111624.039348711,1,33391291
2023-09-19,RTIS,80744741,107516.29960053263,1,32694840
2023-09-20,RTIS,79177817,101250.40537084399,1,31282455
2023-09-21,RTIS,79141919,102118.60516129032,1,30918967
2023-09-22,RTIS,76540581,96886.81139240507,1,30357827
2023-09-23,RTIS,69807753,88364.24430379747,1,27704172
2023-09-24,RTIS,72029165,90036.45625,1,28764435
2023-09-25,RTIS,82453867,103325.64786967418,1,33237912
2023-09-26,RTIS,80772672,100714.0548628429,1,32349760
2023-09-27,RTIS,79080739,99098.67042606516,1,31723841
2023-09-28,RTIS,78449872,98062.34,1,31683628
2023-09-29,RTIS,76664324,96433.11194968554,1,31104109
2023-09-30,RTIS,67805642,85290.11572327044,1,27429110
